שם הקובץ,תיקייה,פורמטים קיימים,קטגוריית רכש,תאריך,ניתן לקריאה,בעיות קידוד,ציון,דירוג,נימוק,ניתוח מפורט ומה צריך תיקון,ממצאי מחקר חיצוני,ישימות ספקים,המלצות מדורגות,קישור לגרסה משופרת
"sow מרקט חומרי גומי וספוגים14.09","חומרי גומי וספוגים","md, docx","חומרי גומי וספוגים","ספטמבר 2024","כן","מינימליות",4,"טוב","מסמך מלא ומקצועי (~307 שורות). כולל את כל הסעיפים הנדרשים: הגדרות, חבילות שירות, תקנים בינלאומיים (MIL-STD), קטלוג דיגיטלי, בקרת איכות, מצב חירום, ביטחון מידע, פיקוח ובקרה. שפה מקצועית.","ציות ורגולציה: עומד ברוב דרישות חוק חובת המכרזים. אין אזכור של הצדקה לדרישות MIL-STD ספציפיות — מחייב תיעוד בסיס. תקינה בינלאומית מוזכרת אך לא מפורטת (איזה STANAG ספציפי). | סיכון פיננסי: אין מנגנון תיאום מחירים (price escalation) לחוזה ארוך. אין תנאים למחיר יחידה ב-20% תוספת שנתית המאושרת. | סיכון משפטי: סעיף ביטחון מידע קיים אך קצר — חסרה הגדרה של נזקים ממוניים בגין דליפת מידע. אין סעיף יישוב סכסוכים (בוררות/בית משפט). | ישימות ספקים: דרישות MIL-STD מגבילות שוק ל-2-3 ספקים בלבד (Supergum, ES Rubber). שוק לא תחרותי מספיק. | שיטות עבודה מומלצות SOW: מבנה טוב. חסר KPI מדיד לביצועים (אחוז מסירות בזמן, % פגמים). | מומחיות תחומית: הגדרת ״בד עמיד אש״ ללא ציון תקן ספציפי (BS EN 13501 או NATO) — חוסר בהירות. | לוגיקה כללית: חבילות שירות ונהלי מסירה עקביים. | תחרותיות: MIL-STD ללא שקילות מצמצם תחרות. מנוגד לעקרונות WTO GPA שישראל חתומה עליהם. | צבא/ביטחון: חירום מוגדר, 24 שעות תגובה. חסר הגדרת ״עתודה אסטרטגית״ ותאום עם DOPP. | המלצות עסקיות: הוסף LOTs לפי קבוצות מוצרים (גומי, ספוגים, בד). | המלצות טכניות: הוסף מפרטי בדיקה (test specs) לכל קטגוריה. | סיכום ושלבים הבאים: מסמך איכותי הדורש שדרוג בתחרותיות ומנגנוני פיננסים.","חוק חובת מכרזים 1993 [mr.gov.il](https://mr.gov.il/ilgstorefront/en/regulations/details/REG1) — דרישת שקילות ב-MIL-STD. MIL-HDBK-245E דרישות SOW [dau.edu](https://www.dau.edu/mil-hdbk-245e-preparation-statement-work-sow) — KPI מדידים. NATO STANAGs [nato.int](https://www.nato.int/content/dam/nato/webready/documents/finance/procurement-procedure_en.pdf) — תאימות עם תקנים בינלאומיים. ISO 20400 [iso.org](https://www.iso.org/standard/63026.html) — שיקולי קיימות ברכש.","ישימות גבוהה (4/5) עבור Supergum ו-ES Rubber. ישימות נמוכה לספקים חדשים — MIL-STD חסם כניסה. המלצה: הוסף שקילות ביצועית לפתיחת התחרות. פרטים מלאים בקובץ vendor_research.csv.","P1 (קריטי): הוסף סעיף שקילות טכנית ל-MIL-STD (ביצועים שקולים מקובלים) | P1: הוסף KPI מדיד (% מסירות בזמן, % פגמים מקסימלי) | P2 (חשוב): הוסף מנגנון תיאום מחירים שנתי | P2: הוסף סעיף יישוב סכסוכים ברור | P3 (מומלץ): פצל ל-LOTs לפי קבוצות מוצרים | P3: הרחב סעיף ביטחון מידע עם נזקים ממוניים","fixed/sow מרקט חומרי גומי וספוגים14.09.md"
"SOW חומרי ניקוי אוקטובר 03.3.25","חומרי ניקוי","md, docx","חומרי ניקוי","אוקטובר 2025","כן","כן",3,"בינוני","253 שורות עם בעיות קידוד משמעותיות. מכיל מלאי חירום ומפרטים טכניים. פחות מפורט מגרסת 2024. גרסה ביניים לא גמורה.","ציות ורגולציה: בעיות קידוד פוגמות בקריאות הדרישות — ספקים לא יכולים לקרוא את התנאים המלאים. בעיה משפטית קריטית. | סיכון פיננסי: מנגנוני עיצום לא ברורים בגלל קידוד. עלולים להיות לא ניתנים לאכיפה. | סיכון משפטי: מסמך עם בעיות קידוד לא יחשב כ-SOW חוקי מחייב אם יגיע לסכסוך. | ישימות ספקים: ספקים (Sano, Reckitt) יתקשו לכמת הצעות מחיר ממסמך לא קריא. | שיטות עבודה מומלצות SOW: הבעיה המרכזית היא טכנית (קידוד) ולא מבנית. | מומחיות תחומית: הגדרות חומרי חיטוי נדרשות לפי תקן משרד הבריאות 5430. | לוגיקה כללית: ייתכן שסעיפים חסרים כי הם לא ניתנים לקריאה. | תחרותיות: גרסה פגומה מוציאה ספקים איכותיים. | צבא/ביטחון: מלאי חירום מוזכר — יש לוודא תיאום עם DOPP. | המלצות עסקיות: להחליף בגרסת 2024 המעודכנת כבסיס. | המלצות טכניות: תיקון קידוד UTF-8 מיידי, המרה מ-DOCX ישירה עם בדיקת כיסוי מלא. | סיכום ושלבים הבאים: מסמך לא פרסום-מוכן. יש לתקן קידוד לפני כל שימוש.","ISO 9001 לחומרי ניקוי [iso.org](https://www.iso.org/standard/62085.html) — דרישות מינימום לספקים. משרד הבריאות ישראל — תנאי רישוי חומרי חיטוי. CIPS Global Standard [cips.org](https://www.cips.org/intelligence-hub/global-standard-for-procurement-supply) — קריטריוני טכניות ברורים ל-SOW. חוק המכרזים [mr.gov.il](https://mr.gov.il/ilgstorefront/en/regulations/details/REG1) — מסמך חוקי חייב להיות קריא.","ישימות נמוכה (2/5) בגרסה הנוכחית. Sano יכולה לספק אך לא מסוגלת לכמת הצעה. הגרסה התקינה (2024) מאפשרת ישימות 4/5. פרטים בvendor_research.csv.","P1 (קריטי): תיקון קידוד מיידי — המרה נקייה ל-UTF-8 | P1: בדיקה שכל הסעיפים קיימים לאחר תיקון | P2 (חשוב): עדכון לגרסת 2025 על בסיס גרסת 2024 | P2: הוסף ISO 9001 כתנאי סף לספקים | P3 (מומלץ): הוסף AVL (רשימת מוצרים מאושרת) | P3: הגדר SLA נפרד לחיטוי vs ניקוי","fixed/SOW חומרי ניקוי אוקטובר 03.3.25.md"
"SOW חומרי ניקוי אפריל 2024 מעודכן","חומרי ניקוי","md, docx","חומרי ניקוי","אפריל 2024","כן","לא",4,"טוב","201 שורות, נקי ומאורגן, מסומן ׳מעודכן׳. כולל מסירה, בקרת איכות, אנשי קשר, מלאי חירום, קטלוג. בסיס עבודה מהימן.","ציות ורגולציה: עומד ברוב דרישות. חסר הפניה לתקן ISO 9001 כתנאי סף מפורש. | סיכון פיננסי: חסר מנגנון תיאום מחירים אוטומטי (inflation adjustment). סיכון בחוזה ארוך. | סיכון משפטי: סעיפי עיצום קיימים אך לא מוגדרת שיטת מדידה מדויקת (SLA dashboard). | ישימות ספקים: ישימות גבוהה. Sano, Reckitt, Henkel — כולם יכולים לספק. | שיטות עבודה מומלצות SOW: חסר KPI מספרי לביצועים (% מסירה, % תלונות). | מומחיות תחומית: חסר הגדרת קטגוריות (חיטוי רפואי vs ניקוי כללי vs חיטוי בסיסים). | לוגיקה כללית: עקבי ומובן. | תחרותיות: פתוח לתחרות. חסר עידוד SME ישראלי. | צבא/ביטחון: מלאי חירום מוגדר. חסר תרחיש מלחמה (72 שעות מינימום). | המלצות עסקיות: עדכן ל-2025/2026 עם הצמדת מחירים. | המלצות טכניות: הוסף דרישות ניהול קטלוג דיגיטלי (מרקט) עם Punchout. | סיכום ושלבים הבאים: מסמך טוב — עדכון שנתי נדרש.","ISO 9001:2015 [iso.org](https://www.iso.org/standard/62085.html) — תנאי סף לספקי ניקוי. SLA best practices [cio.com](https://www.cio.com/article/274740/outsourcing-sla-definitions-and-solutions.html) — KPI מספריים. eBRAP SOW example [ebrap.org](https://ebrap.org/eBRAP/public/ViewTemplate.htm?fileTemplateId=1090&fileType=pdf) — תבנית SOW מורחבת.","ישימות גבוהה (4/5). Sano ו-Reckitt ישראל ינהלו בקלות. יש לוודא מפרטי מוצרים לפי AVL. פרטים בvendor_research.csv.","P1 (קריטי): הוסף KPI מספרי — 95% מסירות בזמן, מקסימום 2% תלונות | P2 (חשוב): הוסף מנגנון הצמדה למדד המחירים לצרכן | P2: הגדר הבחנה בין קטגוריות ניקוי | P3 (מומלץ): עדכן תאריכים ל-2025 | P3: הוסף עידוד SME ישראלי","fixed/SOW חומרי ניקוי אפריל 2024 מעודכן.md"
"SOW- כלי מטבח והגשה ינואר 25","כלי מטבח והגשה","md, docx","כלי מטבח והגשה","ינואר 2025","כן","לא",4,"טוב","300+ שורות. מקיף עם מפרטים טכניים, מלאי חירום (פסח), 25 ימי מסירה, פיזור גיאוגרפי. מסמך עדכני ופעיל.","ציות ורגולציה: אין אזכור לתקני EN לכלי מטבח (EN 12983, EN 631). נדרש להסכמי WTO לגבי ייבוא כלים. | סיכון פיננסי: 25 ימי מסירה — ארוך יחסית. אין עיצום על איחורים מוגדר. עלות אחסון מלאי פסח לא מוגדרת. | סיכון משפטי: חסר סעיף ״הוצאה מהשוק״ (recall) במקרה של מוצר פגום. | ישימות ספקים: ישימות טובה לגסטרו אינטרנשיונל. כתר מתאים לפלסטיק. פיצול ל-LOTs יגביר תחרות. | שיטות עבודה מומלצות SOW: חסר ניהול קטלוג דיגיטלי עם תמונות מוצרים (נדרש לפי מרקט). | מומחיות תחומית: ציוד פסח מוגדר — טוב. חסר דרישות כשרות ספציפיות (מהדרין?). | לוגיקה כללית: נהלי הזמנה ופיזור ברורים. | תחרותיות: SOW רחב מדי — ספקים קטנים לא יכולים לעמוד בכל הטווח. | צבא/ביטחון: מלאי חירום מוגדר. חסר תרחיש מלחמה לציוד מטבח. | המלצות עסקיות: פצל ל-2 LOTs. | המלצות טכניות: הוסף דרישת תמונות מוצר ב-DPI גבוה לקטלוג דיגיטלי. | סיכום ושלבים הבאים: SOW טוב — פיצול LOTs יגביר תחרות.","EN 12983:1999 כלי בישול [iso.org](https://www.iso.org) — תקן אירופי לכלי בישול. DoD SOW Handbook [dau.edu](https://www.dau.edu/mil-hdbk-245e-preparation-statement-work-sow) — הפרדת Lots לעידוד תחרות. CIPS [cips.org](https://www.cips.org) — ניהול קטלוג דיגיטלי Punchout. ISO 20400 [iso.org](https://www.iso.org/standard/63026.html) — ציוד בר-קיימא.","ישימות גבוהה (4/5) לגסטרו אינטרנשיונל וכתר. LOTs נפרדים יכפילו מספר הצעות. פרטים בvendor_research.csv.","P1 (קריטי): הוסף תקני EN לכלי בישול ומגשים | P1: הוסף סעיף recall/הוצאה מהשוק לציוד פגום | P2 (חשוב): פצל ל-2 LOTs (פלסטיק vs מתכת/אלומיניום) | P2: הוסף עיצום מפורש על איחורים (% מהחשבון ליום) | P3 (מומלץ): הוסף דרישות תמונות מוצר לקטלוג | P3: הוסף דרישות כשרות","fixed/SOW- כלי מטבח והגשה ינואר 25.md"
"SOW- כלי מטבח והגשה","כלי מטבח והגשה","md, docx","כלי מטבח והגשה","לא ידוע","כן","כן",2,"גרוע","גרסה קודמת ללא תאריך עם קידוד פגוע קשות. טקסט עברי מושחת ברובו. תוכן דומה לגרסת 2025 אך בלתי קריא. מיותר לשימוש.","ציות ורגולציה: מסמך עם קידוד שבור אינו SOW חוקי מחייב. לא ניתן להסתמך עליו בסכסוך. | סיכון פיננסי: לא ניתן להעריך — תוכן לא קריא. | סיכון משפטי: קריטי — מסמך לא קריא לא ניתן לאכיפה. | ישימות ספקים: ספקים לא יכולים לכמת הצעה. | שיטות עבודה מומלצות SOW: הבעיה מבנית — כלל לא ניתן לעמוד בסטנדרט. | מומחיות תחומית: לא ניתן להעריך. | לוגיקה כללית: לא ניתן להעריך. | תחרותיות: פרסום מסמך זה יגרום לפנייה לבית משפט. | צבא/ביטחון: לא ניתן להעריך. | המלצות עסקיות: גרד מסמך זה לחלוטין. השתמש בגרסת 2025 בלבד. | המלצות טכניות: ניקוי קידוד מלא לשימוש היסטורי בלבד. | סיכום ושלבים הבאים: מסמך זה יש לסגור ולמחוק מהתהליך. הגרסה המתוקנת מבוססת על גרסת 2025.","ISO/IEC 29500 פורמט OOXML [iso.org](https://www.iso.org) — תקן DOCX תקין. UTF-8 encoding best practices [w3.org](https://www.w3.org/International/questions/qa-choosing-encodings) — כיצד להמיר קבצים עבריים נכון.","ישימות 0/5 בגרסה הנוכחית. לא ניתן להגיש הצעה. יש להחליף בגרסת ינואר 2025.","P1 (קריטי): הסר מסמך זה מתהליך הרכש לאלתר | P1: השתמש אך ורק בגרסת ינואר 2025 | P2 (חשוב): שמור עותק היסטורי בארכיון (לא כמסמך עבודה) | P3 (מומלץ): בצע בדיקת קידוד אוטומטי על כל ה-SOW הקיימים","fixed/SOW- כלי מטבח והגשה.md"
"SOW -כסאות אורח ופינות המתנה 18.05.25","כסאות אורח","md, docx","ריהוט - כסאות אורח","מאי 2025","כן","כן",3,"בינוני","199 שורות. מבנה בסיסי עם תוכן עניין ריק חלקית. קידוד חמור. יש סעיפי אחריות וחירום. חסרים מפרטים טכניים.","ציות ורגולציה: חסרים תקנים EN לריהוט (EN 16139 כסאות ממוסדים, EN 12520 כסאות אורח). | סיכון פיננסי: ערך חוזה לא מוגדר. אין מנגנון תיאום מחיר. | סיכון משפטי: סעיפי אחריות קיימים אך לא מוגדר מה נחשב ״פגם״ — חוסר ודאות משפטית. | ישימות ספקים: Keter יכולה לספק אך ה-SOW לא ברור. Steelcase — מחיר גבוה. | שיטות עבודה מומלצות SOW: תוכן עניין ריק מעיד על מסמך לא גמור. | מומחיות תחומית: כסאות ממוסדים דורשים תקן עמידות גבוה (מאמץ 120 ק״ג, 200,000 מחזורים). | לוגיקה כללית: קידוד פגום — חלקים לא קריאים. | תחרותיות: SOW לא ברור יגרום ל-3-5 הצעות לא תואמות. | צבא/ביטחון: חירום מוגדר ב-72 שעות — טוב. חסר מפרט פינות המתנה מאובטחות. | המלצות עסקיות: תיקון קידוד ואז הרחבת מפרטים טכניים. | המלצות טכניות: הוסף מידות מינימליות, מגבלת משקל, חומר עיצוב מינימלי. | סיכום ושלבים הבאים: נדרשת עבודה משמעותית לפני פרסום.","EN 16139:2013 כסאות לשימוש כבד [cen.eu](https://www.cencenelec.eu) — תקן לכסאות ממוסדים. EN 12520:2015 כסאות ישיבה [iso.org](https://www.iso.org) — מפרטי ביצוע. GSA Furniture Standards [gsa.gov](https://www.gsa.gov/buy-through-us/products-and-services/office-management/furniture-and-furnishings) — דרישות ריהוט ממשלתי. DOPP ישראל [english.mod.gov.il](https://english.mod.gov.il/Departments/Pages/DepartmentofProductionandProcurement.aspx).","ישימות בינונית (3/5) עם הגרסה הנוכחית. Keter — 5/5 לאחר תיקון SOW. Steelcase — 4/5 אך מחיר גבוה. פרטים בvendor_research.csv.","P1 (קריטי): תיקון קידוד ל-UTF-8 נקי | P1: הוסף מפרטים טכניים — EN 16139, מידות, משקל תחתון | P1: מלא תוכן עניין ריק | P2 (חשוב): הוסף הגדרת ״פגם ריהוט״ מדויקת | P2: הגדר ערך חוזה ומנגנון תיאום מחיר | P3 (מומלץ): הפרד פינות המתנה מכסאות אורח בסיסיות | P3: הוסף עידוד ייצור ישראלי (כתר)","fixed/SOW -כסאות אורח ופינות המתנה 18.05.25.md"
