קטגוריית רכש,שם ספק,מדינה/מיקום,אתר,ישימות עם SOW (1-5),נימוק ישימות,מחסומים עיקריים,המלצות להתאמת ה-SOW
ציוד רפואי,Elbit Systems / Beyeonics,ישראל,https://www.elbitsystems.com,3,"ספק ביטחוני מוביל עם ניסיון עם משרד הביטחון, אך מתמחה בציוד אלקטרוני ולא בציוד רפואי בסיסי. מוכן לאישורי ביטחון נדרשים.","תחום ציוד רפואי בסיסי (כוורת, תרופות, מצרכים) אינו ליבת הפעילות. הדרישות למלאי חירום ב-24 שעות קשות עבור ספק הייטק.","הפרד בין ציוד רפואי ייחודי-ביטחוני (Elbit) לבין ציוד בסיסי (ספקים פרמצבטיים). הגדר בSOW אילו קטגוריות ניתן לספק יחד."
ציוד רפואי,כביר מדיקל,ישראל,https://www.kavir-medical.co.il,4,"חברה ישראלית המתמחה בציוד רפואי מתכלה ואביזרים. ניסיון בספקות לבתי חולים ממשלתיים. מסוגלת לעמוד ברוב דרישות ה-SOW.","דרישות ביטחון מידע ואישורי ביטחון לצוות עשויות להיות מכשול. אין ניסיון מוכח ספציפי עם צה״ל.","הוסף סעיף בSOW להכשרת צוות הספק לנהלי ביטחון בסיסיים (5 ימי הכשרה) כתנאי סף. זה יאפשר לספקים ממשלתיים רגילים להיכנס."
ציוד רפואי,מדטכניקה ישראל,ישראל,https://www.medtechnika.co.il,4,"ספק ותיק של ציוד רפואי לבתי חולים ממשלתיים. קטלוג רחב, תיעוד ISO 13485. מסוגל לעמוד בדרישות מסירה.","דרישות מלאי חירום ב-24 שעות במצב מלחמה הן אתגר לוגיסטי. צריך להוכיח יכולת פיזור גיאוגרפי ארצי.","עדכן SOW: אפשר מלאי חירום לאחסן במחסן ביניים מאושר (לא חייב להיות בידי הספק עצמו). מפחית חסם כניסה."
ציוד רפואי,Medtronic Israel (Given Imaging),ישראל/ארה״ב,https://www.medtronic.com/il-he,3,"חברת מכשור רפואי עולמית עם נוכחות ישראלית. יכולת טכנית גבוהה אך מחיר גבוה ותהליכי רכש בירוקרטיים.","חברה רב-לאומית עשויה להתנגד לדרישות ביטחון מידע ישראליות. זמן תגובה ב-24 שעות קשה למוצרים מיובאים. עיצומים חוזיים עשויים לא לתואם מדיניות החברה.","הבחן בSOW בין מוצרים מייצור ישראלי (זמן תגובה קצר) לייבוא (זמן תגובה 72 שעות). מפחית חסמי כניסה ומאפשר תחרות."
מכשור כירורגי,פועלים רפואה (Poalim Medical),ישראל,https://www.poalimmedical.co.il,4,"ספק מוביל של מכשור כירורגי לבתי חולים ממשלתיים בישראל. ניסיון ממשלתי רחב, אישורי משרד הבריאות.","גרסה 003 של SOW מחמירה מאוד - דורשת ISO 13485, רישיונות סטנדרטיים ספציפיים. דרישות מלאי חירום רחבות יש להגדיר כמותית.","הגדר בSOW רשימה ברורה של תקנים נדרשים (ISO 13485, CE, FDA) ואפשר תהליך הגשת שקילות. מצמצם ״הנעלת ספקים״."
מכשור כירורגי,B. Braun Israel,ישראל/גרמניה,https://www.bbraun.co.il,5,"חברה גרמנית-ישראלית מובילה בכלים כירורגיים מתכלים. ISO 13485, רישיונות בריאות ישראלים, ניסיון בסקטור הביטחוני.","עלויות גבוהות בהשוואה לספקים מקומיים. תלות במוצרים מיובאים עשויה ליצור בעיות בזמינות במלחמה.","הוסף בSOW סעיף ״מינימום תוצרת מקומית״ (20% מהפריטים מייצור ישראלי) לאבטחת שרשרת אספקה בחירום."
מכשור כירורגי,קרדיאל (Cardial),ישראל,https://www.cardial.co.il,3,"ספק מכשור רפואי ישראלי עם ניסיון בבתי חולים. מגוון מוצרים מוגבל בהשוואה לדרישות SOW הרחבות (גרסה 003).","קטלוג מוצרים מוגבל - ייתכן שלא יוכל לספק את מלוא טווח המכשור. אחריות ביטחונית לתיעוד מורכב.","שקול חלוקת ה-SOW לנסיונות משנה (Lots) לפי קטגוריות מכשור. מאפשר לספקים קטנים להתמחות."
חומרי ניקוי,סאנו (Sano),ישראל,https://www.sano.co.il,5,"הספק הישראלי המוביל לחומרי ניקוי. ניסיון ממשלתי רחב, קטלוג מוסדי. פריסה ארצית, יכולת מלאי גבוהה.","SOW אוקטובר 25 עם בעיות קידוד - חוסר בהירות לגבי מפרטים. ציון 3 של SOW מקשה על הבנת הדרישות המדויקות.","תקן ה-SOW ל-ISO 9001, הוסף רשימת מוצרים מאושרת (Approved Vendor List) שסאנו יכולה לעמוד בה. מייצר ודאות לשני הצדדים."
חומרי ניקוי,רקיט בנקיזר ישראל (Reckitt),ישראל/בריטניה,https://www.reckitt.com/il,4,"מותגים מוכרים (דטול, ליזול) עם כיסוי ממשלתי. הסכמי מסגרת קיימים עם גופים ממשלתיים ישראלים.","מוצרים מיובאים עם תלות בשרשרת אספקה בינלאומית. בעיות זמינות במצב חירום. מחיר גבוה.","הוסף בSOW ״תחליפים מאושרים״ - אם מוצר ספציפי אינו זמין, ניתן לספק שקילות. מגביר גמישות ותחרות."
חומרי ניקוי,הנקל ישראל (Henkel),ישראל/גרמניה,https://www.henkel.co.il,4,"מותגים מקצועיים (פרוול, פרסיל). מגזר מוסדי מנוסה. אחסון ומלאי מרכזיים.","ספק דואלי (צרכן + מוסדי) - ייתכן ועדיפות מוסדית נמוכה. בעיות מחיר.","בSOW הגדר SLA נפרד למוצרים חיוניים (חיטוי, קרינה) vs רגילים. מסייע לספקים לתעדף."
חומרי ניקוי,פרוטכים (Protechim),ישראל,https://www.protechim.co.il,3,"ספק ישראלי של חומרי ניקוי תעשייתיים. ניסיון בתעשייה אך פחות בסקטור ממשלתי-ביטחוני.","קטלוג מוצרים פחות מגוון מסאנו. חוסר ניסיון בדרישות ביטחון מידע ואישורים צבאיים.","הוסף לSOW ״מסלול מזורז להכשרת ספקים חדשים״ - 30 ימים עם ליווי לוגיסטי ראשוני. מגביר תחרות בשוק."
כלי מטבח והגשה,כתר פלסטיק (Keter),ישראל,https://www.keter.com,4,"מיצרן ישראלי מוביל של מוצרי פלסטיק. גסטרונומיה, מיכלים, כלים - קטלוג מוסדי רחב. ניסיון ממשלתי.","מיכלי גסטרונומיה ממתכת (אינם חלק מהמוצרים המרכזיים של כתר). מגשי אלומיניום לא בקטלוג הרגיל.","בSOW הפרד בין כלי פלסטיק (כתר, ספקים מקומיים) לכלי מתכת (ספקי אלומיניום). 2 נסיונות נפרדים תגביר תחרות."
כלי מטבח והגשה,חברת אלומטל,ישראל,אין אתר ציבורי,3,"יצרן ישראלי של כלי אלומיניום לבישול ולהגשה. ספק מוסדי ותיק. אך ייצור מוגבל.","קיבולת ייצור עשויה להיות מוגבלת לעומת ביקוש ממשלתי גדול. זמן מסירה 25 ימים - מאתגר בחירום.","עדכן SOW לאפשר שרשור ייצור (ספק ראשי+קבלני משנה). מגדיל קיבולת מבלי לשנות דרישות איכות."
כלי מטבח והגשה,Gastro International,ישראל,https://www.gastro.co.il,5,"ספק מקצועי של ציוד מטבח מוסדי. ניסיון בבתי מלון וצבא. קטלוג מגוון, שירות ומחסנים.","מגוון הסחורה הנדרש בSOW ינואר 25 (300+ פריטים) רחב. ייתכן פערים בכיסוי מלא של כל הקטגוריות.","הגדר ב-SOW ״כמות מינימלית לנסיון״ לפריטים קריטיים (100% כיסוי) ורשות לספקי משנה לשאר (80% כיסוי)."
כסאות אורח וריהוט פלסטיק,כתר (Keter),ישראל,https://www.keter.com,5,"כתר הוא ספק כסאות הפלסטיק המוביל בישראל (הכיסא הלאומי). נמכרים 800,000 כסאות/שנה. תשתית לאומית.","SOW כסאות אורח (ציון 3) עם בעיות קידוד - חוסר בהירות. SOW ריהוט פלסטיק פברואר 26 (ציון 1) שלד בלבד - לא ניתן לייצר הצעת מחיר.","דאג שה-SOW יכלול מפרטים ברורים (מידות, עומסים, צבעים, תקן EN 16139) לפני מכרז. SOW לא ברור מוביל להצעות לא תואמות."
כסאות אורח וריהוט פלסטיק,פלאסמן (Plasson),ישראל,https://www.plasson.com,3,"חברה ישראלית ל-מוצרי פלסטיק תעשייתיים. ניסיון מוסדי. אך ריהוט אינו תחום הליבה שלהם.","ריהוט אינו מוצר ליבה. מגוון נמוך. אין הוכחה לאישורי EN לריהוט.","הוסף ל-SOW דרישה לתעודת מבדק בטיחות EN 16139 + 12520 כתנאי סף. מסנן ספקים לא ראויים בשלב מוקדם."
כסאות אורח וריהוט פלסטיק,Steelcase Israel,ישראל/ארה״ב,https://www.steelcase.com/countries/israel,4,"ריהוט משרדי מקצועי. מוצרים איכותיים, ניסיון ממשלתי ישראלי. הולם לכסאות אורח ופינות המתנה.","מחיר גבוה - ייתכן שמחוץ לתקציב ממשלתי. כסאות פלסטיק (ריהוט פלסטיק) אינם תחום ליבת Steelcase.","הפרד ב-SOW בין כסאות אורח/המתנה (Steelcase-level) לריהוט פלסטיק כללי (Keter-level). מפרט נפרד לכל מגזר."
חומרי גומי וספוגים,Supergum,ישראל,https://supergum.com/defense,5,"60 שנות ניסיון בגומי לתעשיית הביטחון. עובד ישירות עם משרד הביטחון. מוצרים לפי MIL-STD.","הדרישות הגבוהות (MIL-STD, עמידות אש, כימיקלים) כבר מחייבות ספק מתמחה. שוק מצומצם. תחרות נמוכה.","הוסף ב-SOW גם תנאי ״שקילות טכנית מאושרת" - כל ספק שיוכיח מפרט טכני שווה (לא חייב MIL-STD ספציפי) יוכל להציע. מגביר תחרות."
חומרי גומי וספוגים,ES Rubber,ישראל,https://esrubber.com,4,"ייצור גומי לתעשייה ולביטחון. תקן מעלה 1984 מוכר לחיתוכי גומי לחלונות ממ״ד. ניסיון מוכח.","מגוון מוצרי הסוגיה (כוורת פרנלים, בד עמיד אש) עשוי לחרוג מהתמחות. מסמך SOW ל-14.09 מציין תקנים גבוהים.","בדוק תאימות מלאה של קטלוג ES Rubber לרשימת הפריטים (נספח א'). ייתכן שיש לפצל נסיון לסוגי מוצרים."
חומרי גומי וספוגים,Duram,ישראל,https://duram.co.il,3,"יצרן ישראלי של מוצרי גומי. מוכר בשוק הבנייה. פחות ניסיון ביטחוני מובהק.","חוסר אישורים ביטחוניים מוכחים. המוצרים מוכווני בנייה לא ביטחון. קשה לעמוד בדרישות MIL-STD.","הוסף ב-SOW ״מסלול הסמכה לספקים חדשים״ עם פאיילוט שנה ראשונה. מאפשר ספקים כ-Duram להיכנס לשוק בהדרגה."
פרי וירק,ירושלמי דיסטריבוציה,ישראל,אין אתר ציבורי,4,"חברת הפצה ישראלית של פירות וירקות טריים. ניסיון מוסדי (בתי חולים, קייטרינג). ניתן לפרוס ארצית.","אין תיעוד ציבורי על ניסיון ביטחוני ספציפי. עמידה בתקני HACCP/ISO 22000 לא מאושרת.","הוסף ל-SOW דרישת ISO 22000 (בטיחות מזון) + הכשר פסח/כשרות כתנאי סף. מסייע לסנן ספקים לא מתאימים."
פרי וירק,שטראוס גרופ - ירקות טריים,ישראל,https://www.strauss-group.com,4,"אחת מחברות המזון הגדולות בישראל. שרשרת קירור, תיעוד בטיחות מזון, קיבולת לאומית.","שטראוס מתמקדת במוצרים מעובדים יותר. ירקות טריים לא ליבת הפעילות. SOW דורש פיזור גיאוגרפי נרחב.","ה-SOW צריך להגדיר בבירור את גודל הפריסה הגיאוגרפית הנדרשת (מספר נקודות חלוקה) ולאפשר שרשות הפצה קיימות."
פרי וירק,חקלאות ישיר (Direct Farm),ישראל,אין אתר מרכזי,3,"ספקי חקלאות ישירה מחגורת עזה ועמק הירדן. מקור טרי ביותר, מחיר נמוך. אך תלות גיאוגרפית גבוהה.","עצירת אספקה בזמן מלחמה (חגורת עזה). חוסר סטנדרטיזציה. קשה להגיע לדרישות HACCP.","ה-SOW צריך להגדיר ״ספקי גיבוי חובה״ ממקורות גיאוגרפיים מגוונים (לפחות 2 אזורים). מחייב אבטחת שרשרת אספקה."
חומרי הדברה,ADAMA,ישראל,https://www.adama.com/il,5,"ספקית כימיקלים חקלאיים/הדברה ישראלית-עולמית מובילה. ISO 9001, רישיונות משרד החקלאות, קיבולת לאומית.","מסמך SOW מסמך1 (ציון 2) חסר נהלים תפעוליים. ADAMA תצטרך להתאמות נרחבות לעמוד בדרישות שעדיין אינן מוגדרות.","ה-SOW צריך הרחבה מיידית לכלול: רשימת ציוד מאושר, תנאי אחסון, נהלי החזרה, תיעוד סביבתי. ADAMA יכולה לספק קלט."
חומרי הדברה,גדות-כימיקלים (Gadot),ישראל,https://www.gadot-group.com,4,"פירמת הפצה כימיקלים ישראלית מובילה. ניסיון ממשלתי, מחסנים מאובטחים. שרשרת אספקה מפותחת.","הפצה ולא ייצור - תלות בספקים חיצוניים. ייתכן פגיעה בשרשרת בחירום. אין ניסיון מוכח ספציפי עם צה״ל.","הוסף ב-SOW דרישת ״מלאי בטחון בישראל ל-180 יום״ ו״אישור משרד החקלאות לחומרים ביולוגיים״ כתנאי סף."
כריכים ומוצרים נלווים,אסיסא קייטרינג,ישראל,https://www.assisa.co.il,4,"חברת קייטרינג ישראלית גדולה. ניסיון ממשלתי רחב (מוסדות, צבא). הכשרות, גיוון תפריטים.","מסמך כריכים (ציון 2) קצר מאוד ולא מגדיר SLA, לוחות זמנים, כמויות. קשה להצעת מחיר מדויקת.","הרחב את מסמך דרישות הכריכים לכלול: כמויות, לוחות זמנים, מפרטי הכשר, ניהול אלרגנים, טמפרטורות שינוע."
כריכים ומוצרים נלווים,אסם/נסטלה ישראל,ישראל/שוויץ,https://www.osem.co.il,3,"חברת מזון ישראלית מובילה. מוצרים מאוחסנים, לא קייטרינג טרי. מגוון רחב אך לא מתמחה בכריכים טריים.","מסמך הכריכים מתייחס לכריכים ״טריים״ - אסם/נסטלה לא מתמחה בכך. הפריסה הלוגיסטית לצה״ל נמוך.","הגדר ב-SOW בבירור: ״כריכים טריים״ vs ״מוצרים ארוזים מאוחסנים״. ספקים שונים לכל קטגוריה."
כריכים ומוצרים נלווים,בייקרי הצבא (קייטרינג פנימי),ישראל,אין אתר,2,"ייצור פנימי צבאי - מאפיות ומטבחים של צה״ל. תלוי ביכולת פנימית ולא בשוק חיצוני.","ניגוד עניינים עם מכרז חיצוני. קיבולת מוגבלת. אינו פתרון לטווח ארוך.","ה-SOW צריך להגדיר בבירור שמדובר בחוזה לספקים חיצוניים (לא ייצור פנימי). כולל דרישות הכשר ורגולציה מזון."
